task,community
99,0
796,3
792,3
709,1
680,3
383,1
33,0
329,3
324,3
9,0
81,1
789,3
720,1
699,0
641,2
632,3
63,1
589,1
576,0
550,2
523,0
5,3
487,3
475,0
458,0
423,0
413,3
41,2
408,1
407,1
397,2
380,0
357,0
354,1
34,0
322,3
281,0
267,2
230,1
212,1
130,1
127,3
98,2
91,1
88,1
79,2
783,2
775,2
758,3
748,0
747,1
736,2
729,1
728,0
718,2
713,3
712,3
704,3
70,2
7,0
698,0
687,3
683,2
681,0
678,3
676,2
667,0
666,0
662,2
658,3
651,3
65,3
647,0
635,3
627,2
616,0
613,0
602,2
599,0
598,2
593,1
59,1
587,1
571,2
561,1
549,2
545,1
534,0
520,0
510,3
509,3
508,2
489,2
485,2
484,3
478,3
477,0
463,1
457,3
450,3
449,3
443,0
436,3
433,0
425,2
422,3
421,3
42,0
418,3
399,0
39,3
388,1
38,2
372,3
366,3
346,2
342,3
315,0
300,1
295,0
290,1
272,3
27,3
264,1
259,2
257,0
239,1
23,0
227,3
222,2
218,2
209,2
206,3
195,3
192,3
178,3
158,2
149,3
146,1
145,0
122,2
117,2
115,2
112,0
11,0
102,1
100,0
10,0
97,1
92,0
85,1
84,0
807,0
804,2
802,1
801,2
793,2
790,0
788,2
779,1
778,1
772,1
771,2
770,3
77,3
763,1
762,3
759,1
757,1
753,0
751,0
740,1
735,2
734,0
732,3
731,3
723,0
721,2
719,0
710,3
708,3
705,2
701,2
694,3
692,0
684,0
68,0
675,3
671,2
67,2
669,2
664,2
659,3
657,3
654,1
649,3
645,2
638,2
637,1
630,3
624,1
619,1
615,0
600,1
6,2
588,1
582,1
574,0
572,1
567,1
563,0
562,1
557,3
552,0
551,0
548,2
541,2
54,0
537,3
532,3
531,3
526,0
519,2
518,2
516,3
504,0
501,0
498,2
497,3
49,2
488,0
482,3
481,1
479,3
474,0
472,1
471,1
466,0
465,2
460,1
456,2
452,2
447,0
445,0
441,3
439,1
438,3
434,1
430,2
419,3
414,3
410,0
409,1
406,1
405,2
396,0
392,1
391,3
385,2
379,2
378,2
374,1
371,0
37,3
367,1
363,3
360,0
356,0
351,3
350,1
343,1
341,3
340,1
319,2
314,0
311,3
31,2
309,0
308,1
305,1
30,1
289,2
288,0
283,0
279,1
274,2
268,2
265,3
260,2
249,1
242,2
236,0
235,2
234,1
220,0
216,0
214,1
213,1
211,0
204,1
203,2
20,1
198,2
190,3
19,1
185,3
182,3
