task,community
542,1
471,0
162,0
501,2
460,0
293,2
274,3
249,2
91,3
74,0
69,2
67,3
65,2
60,0
572,2
560,3
518,1
517,3
516,1
509,3
495,1
479,3
474,2
45,0
440,0
41,2
405,0
40,0
390,0
386,3
350,3
347,2
321,1
285,2
273,0
256,0
243,2
231,3
215,3
208,2
194,2
192,1
186,3
180,0
171,2
154,2
142,3
125,1
105,3
99,2
93,1
86,3
78,3
582,0
580,2
579,3
575,2
571,0
57,1
568,1
561,1
554,1
549,3
538,1
536,3
535,1
534,2
533,0
527,1
526,3
503,3
500,3
493,0
487,0
483,3
475,0
466,2
459,2
456,3
455,0
454,2
447,2
437,1
430,1
425,3
422,3
418,3
417,0
415,1
414,2
413,0
4,1
392,1
391,3
388,1
384,0
373,1
367,0
365,1
359,3
356,2
346,3
344,0
341,2
330,1
320,1
318,0
316,3
315,2
314,0
313,1
309,0
299,2
286,0
284,0
283,1
276,1
27,2
265,1
254,1
241,1
240,0
235,1
233,0
230,0
225,2
224,3
222,1
218,3
204,0
201,1
199,2
196,1
193,0
19,0
187,2
181,3
174,1
167,0
163,2
155,0
152,0
149,2
147,3
145,0
135,2
128,0
12,2
119,1
110,1
104,1
10,0
94,3
90,2
89,0
80,1
76,1
75,2
73,3
72,3
7,0
64,0
63,3
62,1
584,1
58,2
578,1
574,3
570,1
567,3
564,2
562,0
56,2
556,0
553,3
552,2
551,0
548,0
545,2
544,3
54,3
537,2
532,0
53,0
529,1
524,0
519,0
515,2
514,0
506,3
504,0
502,1
50,0
498,0
492,1
491,3
49,1
48,1
476,1
472,2
470,1
469,3
467,1
458,3
452,0
450,2
449,3
448,0
446,3
435,3
43,3
424,2
421,0
42,1
419,2
416,3
412,3
409,2
407,2
406,3
402,2
400,3
394,2
379,0
377,3
371,3
364,1
363,0
362,3
361,2
358,1
351,0
345,0
342,1
34,1
339,2
335,2
326,1
32,3
312,3
311,1
310,2
31,0
308,0
307,1
306,2
305,3
304,3
298,1
292,3
291,2
290,0
29,2
287,1
282,2
271,2
270,1
266,3
262,3
26,0
255,2
252,1
250,0
245,3
238,3
236,3
232,1
220,1
216,2
214,0
211,3
203,2
202,3
182,0
179,2
178,3
172,0
169,1
161,1
159,2
157,1
144,0
141,1
133,3
13,3
129,2
127,2
126,3
111,0
109,2
108,2
100,0
1,2
92,1
9,1
84,0
83,2
81,1
77,2
68,0
66,1
61,2
583,2
581,3
577,0
569,3
566,2
563,3
559,2
555,2
55,1
547,1
540,0
531,3
523,3
513,3
510,1
505,1
5,1
494,3
490,2
485,1
484,2
47,3
468,0
465,3
464,2
463,1
462,3
461,0
453,1
445,1
441,3
439,2
438,3
436,1
434,0
432,3
429,2
420,1
404,0
398,1
396,3
393,1
382,3
381,2
380,2
38,1
376,3
375,2
37,2
369,0
368,2
357,2
354,0
353,1
352,2
348,1
340,3
337,1
334,0
331,2
328,3
327,2
325,0
324,2
322,3
319,3
317,2
302,2
3,0
296,0
295,3
279,3
277,2
275,2
272,0
269,3
268,2
264,1
263,2
259,3
258,0
257,1
253,3
25,1
246,2
244,0
242,3
24,2
234,2
23,1
228,0
212,1
207,3
198,0
191,2
189,3
188,1
184,2
18,1
177,1
176,2
175,0
173,3
17,3
166,1
165,3
156,1
153,3
15,0
143,2
139,2
138,3
136,1
124,3
120,0
117,2
113,2
112,3
106,1
103,0
96,2
95,0
88,2
85,1
82,3
79,0
71,1
70,0
6,3
59,3
573,0
558,1
550,1
546,3
543,2
541,0
522,1
521,2
52,3
512,2
511,0
51,2
508,2
497,2
496,2
489,0
488,2
486,3
482,0
481,1
480,1
478,0
477,2
46,2
457,1
444,0
443,1
442,2
44,0
433,2
431,0
428,0
427,2
423,1
410,1
403,3
401,1
399,0
397,2
389,2
387,2
385,0
378,1
374,0
372,1
360,0
35,2
338,0
336,3
33,3
329,3
303,0
301,1
289,1
281,3
280,1
28,3
278,0
260,2
248,1
239,2
237,1
229,2
227,3
226,1
223,2
221,0
22,0
219,0
217,2
213,1
210,0
21,3
209,2
206,1
205,0
200,1
2,3
197,3
195,3
185,0
170,3
168,2
164,3
160,0
16,2
158,3
151,1
148,2
146,1
140,1
14,1
132,1
131,0
130,3
123,2
122,1
121,0
118,3
116,1
115,0
98,1
97,3
87,0
8,2
576,1
565,0
539,3
525,0
499,1
473,3
451,1
426,1
408,1
395,0
39,3
370,2
366,3
355,3
349,1
343,3
333,1
332,0
323,0
30,1
297,0
288,3
267,0
261,0
251,3
247,0
20,2
190,0
183,1
150,3
134,0
11,3
107,0
102,3
101,2
557,0
530,2
528,2
520,2
507,0
411,0
383,1
36,0
300,3
294,1
137,0
114,3
