worker,community
w108,community4
w101,community4
w103,community4
w102,community5
w675,community7
w682,community10
w394,community5
w589,community9
w118,community13
w140,community6
w153,community7
w121,community12
w105,community6
w3,community6
w280,community11
w518,community11
w197,community4
w32,community10
w680,community7
w208,community8
w685,community5
w1,community12
w152,community11
w151,community4
w236,community10
w6,community7
w294,community11
w238,community14
w495,community6
w403,community10
w343,community7
w115,community8
w674,community4
w679,community12
w28,community13
w124,community5
w683,community12
w475,community10
w205,community11
w2,community6
w363,community7
w504,community13
w688,community14
w305,community14
w113,community5
w695,community6
w278,community8
w588,community11
w275,community11
w109,community3
w672,community5
w267,community10
w690,community10
w519,community12
w488,community10
w339,community9
w272,community12
w427,community7
w126,community9
w4,community12
w293,community9
w160,community11
w493,community9
w192,community13
w7,community6
w209,community12
w179,community9
w127,community10
