task,community
http://box.net,0
http://lasenza.com,0
http://druglibrary.org,0
http://dofol.com,0
http://cialis.com,1
http://spanx.com,1
http://meetup.com,1
http://0800-horoscope.com,0
http://freeadlists.com,0
http://dada.net,0
http://crosscards.com,0
http://celebricious.com,1
http://boobdex.com,3
http://avert.org,1
http://bearshare.com,0
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/,1
http://CarandDriver.com,0
http://liberator.com,3
http://howardmovies.com,3
http://forta.com,0
http://fhm.co.za,3
http://epigee.org,1
http://dhaka69.blogspot.com,3
http://dcist.com,0
http://czechboys.com,3
http://crazyblob.com,1
http://concordmonitor.com,0
http://citywire.co.uk,1
http://bumpshack.com/2008/01/24/kristy-lee-cook-american-idol-sex-scandal/kristy-lee-cook-sex-scandal-2/,2
http://bumpshack.com/2007/04/12/olivia-mojicas-sex-tape-smoking-hot-sex/,2
http://asiatos.com,3
http://articlesandauthors.com,1
http://ar.geocities.com/hentsen/index.html,3
http://affiliateguide.com,0
http://adultdvdemart.com,3
http://yousendit.com,0
http://usa.com,0
http://spring.org.uk,1
http://love-scent.com,2
http://justguys.net,2
http://justanswer.com,0
http://forum.anothersite.co.uk/nsfw-amateur-clips/256727-ex-girlfriend-sextape.html,3
http://filedonkey.com,0
http://filecabi.net,3
http://egyptianclicks.com,0
http://e-bookreaders.biz,0
http://cyh.com,0
http://cubeecraft.com,0
http://craveonline.com,1
http://couchsurfing.org,0
http://cdrking.com,0
http://capetown-direct.com,0
http://buystockdesign.com,0
http://bumpshack.com/2008/12/02/jessica-alba-too-sexy-for-campari-calendar/jessica-alba-2009-campari-calendar-4/,2
http://bumpshack.com/2008/10/22/will-smith-seeks-scientology-to-cure-his-homosexuality/,2
http://bumpshack.com/2007/11/18/paris-hilton-naked-bath-time-sex-tape/,2
http://bumpshack.com/2007/02/08/kim-kardishians-lie-about-her-sex-tape/,1
http://bottomlineblack.com/,1
http://backseatcuddler.com/2008/11/16/2008-victorias-secret-fashion-show-rocks-%e2%80%93-sexy-angels%e2%80%99-photos/full_victorias_secret_show_02_wenn2175462/,2
