question,truth
http://0800-horoscope.com,0
http://18games.net,3
http://1pixelout.net,0
http://1porno.com/004/teens/index.html,3
http://1stpussy.com/005/16/index.html,3
http://3x-pix.com,3
http://4d.com,0
http://4neurons.com,0
http://4-panama-city-beach-condo.com/index.htm,0
http://4whw.8m.net/,3
http://6lyrics.com,0
http://6t9u.com,3
http://79.170.40.167/micromin.net/downloads/index.php?=&=http://nickscipio.com/pod/2008/11/08_helicoptersex.html,0
http://991.com,0
http://9dir.com,0
http://a2phone.com,0
http://aarpmagazine.org,0
http://ablelinks.com,0
http://accurint.com,1
http://acehardwaresuperstore.com,0
http://activeboard.com,0
http://adameve.com,3
http://adc.gsfc.nasa.gov/,0
http://add2dir.info,0
http://adonomics.com,0
http://adultdvdemart.com,3
http://adult-porn-sites.net/shemale-comics/,3
http://adultswim.co.uk,1
http://advogato.org,0
http://aetna.com,0
http://affiliateguide.com,0
http://affiliatemarketingreviewer.com,0
http://allbetsareoff.com,0
http://AllHiphop.com,0
http://alpha-cow.com/sites/amateur/julia/,3
http://alphawomen.com,1
http://amateur18s.adultbouncer.com/,3
http://analogx.com,0
http://ancestorsites.com,0
http://andhrapradesh.com,0
http://animea.net,0
http://anything-asian.net,1
http://AOL.com,0
http://Apartmentguide.com,0
http://Apartments.com,0
http://apolloguide.com/mov_revtemp.asp?cid=950,0
http://apprupt.com,0
http://aquatapes.com,3
http://ar.geocities.com/hentsen/index.html,3
http://arcspace.com,0
http://aresearchguide.com,0
http://army.mod.uk,0
http://articlegold.com,0
http://articlemajoris.com,0
http://articlesandauthors.com,1
http://asandboxgreeting.com,0
http://AsianAve.com,1
http://asiatos.com,3
http://askganesha.com,0
http://Autotrader.com,0
http://autumntree.info,0
http://avert.org,1
http://avonarticles.com,0
http://azureuswiki.com,0
http://babepedia.com,2
http://babyboomerlifeboat.com,0
http://backseatcuddler.com/2007/04/09/lauren-conrad-and-jason-wahler-sex-tape/,2
http://backseatcuddler.com/2007/09/08/vanessa-hudgens-sexy-naughty-and-nude/,1
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/,1
http://backseatcuddler.com/2008/01/05/adriana-lima-latest-sex-tape-scandal/adriana-lima-sex-tape/,2
http://backseatcuddler.com/2008/01/13/tiffany-new-york-pollard-has-a-sex-tape/,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/,2
http://backseatcuddler.com/2008/01/22/dita-von-teeses-sexy-spanish-playboy-photos/dita-von-teese-playboy-5/,1
http://backseatcuddler.com/2008/03/04/victoria-pratt-sci-fis-sexy-pin-up/,1
http://backseatcuddler.com/2008/03/13/miley-cyrus-bff-mandy-jiroux-has-sexy-myspace-pictures/mandy-jiroux-2/,2
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/,3
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-2/,1
http://backseatcuddler.com/2008/03/20/lindsay-lohan-sex-tape/lindsay-lohan-sex-tape/,2
http://backseatcuddler.com/2008/04/15/marilyn-monroe-sex-tape-sells-for-15-million-photos/,1
http://backseatcuddler.com/2008/06/29/new-miley-cyrus-pictures-not-naked-but-still-sexy/,1
http://backseatcuddler.com/2008/07/13/sex-and-the-city-sequel-in-the-works/,1
http://backseatcuddler.com/2008/08/23/vanessa-hudgens%e2%80%99-sexy-naughty-photo-shoot%e2%80%a6/,2
