data,density,odd,,
CF,0.102298851,1.310160428,,
CF_amt,1.159615385,1.012145749,,
Identification,13.78846154,0.979166667,,
product,17.69318182,0.903278689,,
sentiment,29.43529412,1.002107482,,
MS,0.344418605,1.212121212,,
Dog,2.359669811,1.00777605,,
Face,6.078703704,1.044692737,,
Relevance,4.048895119,0.974530831,,
AdultContent,3.56404321,0.979591837,,
SP,17.41331658,1.002117647,,
SP_amt,8.825539568,1,,
ZenCrowd_all,32.94155844,1.01,,
ZenCrowd_in,52.48,0.920401338,,
ZenCrowd_us,18.89189189,0.989847716,,
MUSIC,0.327954545,1.172043011,,
