num_task,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
50,0.7979999999999999,0.003715999999999998,0.7979999999999999,0.003715999999999998,0.7979999999999999,0.003715999999999998,0.7979999999999999,0.003715999999999998
100,0.756,0.0007640000000000013,0.756,0.0007640000000000013,0.758,0.0007760000000000013,0.758,0.0007760000000000013
150,0.7733333333333333,0.0011111111111111122,0.772,0.0014915555555555554,0.772,0.0013404444444444434,0.7686666666666667,0.0014493333333333322
200,0.7905,0.0007922500000000001,0.7915000000000001,0.00101525,0.7939999999999999,0.0009839999999999996,0.7915,0.0009102499999999996
250,0.7512000000000001,0.0007865600000000015,0.7548,0.0009345600000000016,0.7544000000000001,0.0008870400000000015,0.756,0.0009632000000000017
300,0.7833333333333333,0.0008155555555555549,0.7843333333333333,0.0008089999999999995,0.785,0.0007161111111111116,0.7863333333333333,0.0008276666666666661
350,0.7731428571428571,0.0003839999999999997,0.7737142857142858,0.0004306938775510199,0.7757142857142858,0.0003726530612244896,0.7768571428571429,0.00044318367346938756
400,0.78275,0.0017168125000000013,0.7852499999999999,0.0016743124999999994,0.78625,0.001765312499999999,0.7895000000000001,0.001703499999999999
450,0.7762222222222223,0.00043066666666666617,0.7773333333333332,0.0004314074074074071,0.7837777777777777,0.00046325925925925907,0.7835555555555556,0.0004505679012345678
500,0.7620000000000001,0.0005792000000000011,0.7638,0.0006435600000000011,0.7698,0.0006155600000000012,0.7741999999999999,0.000565960000000001
