task_id,task_community
0,6
1,5
2,5
3,0
4,6
5,2
6,0
7,3
8,6
9,0
10,6
11,5
12,2
13,3
14,0
15,3
16,3
17,5
18,6
19,3
20,6
21,6
22,1
23,6
24,3
25,4
26,1
27,0
28,5
29,4
30,5
31,4
32,4
33,4
34,0
35,2
36,5
37,4
38,3
39,1
40,1
41,4
42,6
43,2
44,3
45,2
46,4
47,1
48,3
49,2
50,4
51,0
52,0
53,4
54,3
55,2
56,6
57,2
58,0
59,2
60,4
61,0
62,5
63,6
64,0
65,0
66,1
67,4
68,5
69,1
70,6
71,6
72,1
73,1
74,6
75,3
76,2
77,4
78,3
79,0
80,2
81,1
82,0
83,3
84,5
85,6
86,1
87,4
88,6
89,5
90,2
91,2
92,3
93,6
94,6
95,1
96,4
97,0
98,2
99,5
100,6
101,6
102,2
103,4
104,4
105,0
106,5
107,0
108,2
109,6
110,4
111,1
112,1
113,1
114,1
115,5
116,6
117,5
118,4
119,5
120,2
121,1
122,0
123,2
124,1
125,0
126,6
127,0
128,1
129,0
130,3
131,0
132,5
133,2
134,0
135,3
136,4
137,3
138,5
139,1
140,0
141,6
142,2
143,2
144,4
145,4
146,0
147,0
148,4
149,6
150,3
151,6
152,1
153,6
154,6
155,3
156,6
157,0
158,5
159,3
160,2
161,2
162,6
163,0
164,6
165,0
166,4
167,2
168,4
169,0
170,4
171,0
172,0
173,1
174,0
175,5
176,1
177,1
178,4
179,6
180,3
181,6
182,1
183,5
184,3
185,1
186,6
187,3
188,6
189,3
190,5
191,3
192,4
193,0
194,4
195,3
196,2
197,2
198,1
199,2
200,2
201,0
202,2
203,5
204,3
205,6
206,1
207,3
208,6
209,2
210,1
211,3
212,6
213,6
214,3
215,4
216,4
217,1
218,5
219,3
220,1
221,6
222,3
223,5
224,6
225,3
226,1
227,6
228,0
229,4
230,2
231,5
232,1
233,0
234,1
235,6
236,5
237,0
238,4
239,5
240,3
241,0
242,1
243,0
244,4
245,6
246,3
247,0
248,6
249,1
250,4
251,2
252,4
253,1
254,5
255,2
256,4
257,5
258,4
259,6
260,0
261,1
262,1
263,2
264,1
265,5
266,0
267,3
268,0
269,2
270,2
271,4
272,3
273,2
274,3
275,3
276,1
277,6
278,5
279,3
280,5
281,0
282,2
283,2
284,0
285,3
286,3
287,5
288,3
289,3
290,3
291,6
292,2
293,0
294,2
295,6
296,5
297,3
298,6
299,2
300,1
301,6
302,0
303,4
304,1
305,1
306,1
307,5
308,0
309,1
310,5
311,6
312,2
