task_id,truth
0,6
1,8
2,3
3,6
4,4
5,2
6,6
7,3
8,8
9,2
10,1
11,0
12,0
13,9
14,2
15,6
16,1
17,5
18,1
19,6
20,7
21,4
22,8
23,0
24,9
25,2
26,9
27,7
28,0
29,8
30,9
31,5
32,3
33,7
34,3
35,3
36,6
37,0
38,9
39,5
40,9
41,1
42,7
43,2
44,9
45,5
46,7
47,0
48,7
49,9
50,0
51,6
52,5
53,0
54,8
55,6
56,1
57,2
58,4
59,3
60,8
61,0
62,6
63,5
64,2
65,3
66,2
67,5
68,6
69,1
70,2
71,2
72,9
73,9
74,9
75,3
76,8
77,5
78,8
79,3
80,3
81,3
82,7
83,6
84,2
85,4
86,0
87,7
88,1
89,0
90,1
91,2
92,6
93,4
94,7
95,1
96,0
97,5
98,2
99,4
100,6
101,0
102,2
103,1
104,2
105,2
106,5
107,6
108,0
109,3
110,0
111,9
112,0
113,2
114,0
115,6
116,5
117,0
118,5
119,3
120,6
121,4
122,8
123,0
124,3
125,2
126,3
127,4
128,9
129,4
130,8
131,7
132,7
133,8
134,7
135,8
136,5
137,1
138,7
139,4
140,5
141,7
142,0
143,6
144,7
145,2
146,1
147,2
148,6
149,5
150,4
151,0
152,3
153,0
154,5
155,9
156,5
157,8
158,0
159,3
160,4
161,4
162,4
163,7
164,6
165,1
166,1
167,0
168,6
169,9
170,2
171,6
172,7
173,9
174,3
175,8
176,1
177,4
178,8
179,6
180,5
181,0
182,5
183,4
184,8
185,3
186,2
187,0
188,3
189,6
190,5
191,4
192,0
193,2
194,3
195,3
196,8
197,6
198,8
199,0
200,0
201,5
202,8
203,6
204,4
205,1
206,6
207,9
208,8
209,6
210,4
211,1
212,2
213,3
214,8
215,5
216,3
217,2
218,7
219,4
220,0
221,1
222,8
223,9
224,4
225,8
226,1
227,7
228,4
229,8
230,7
231,7
232,0
233,9
234,8
235,6
236,6
237,0
238,6
239,4
240,9
241,2
242,8
243,2
244,3
245,7
246,4
247,0
248,1
249,2
250,6
251,7
252,1
253,3
254,4
255,9
256,3
257,8
258,4
259,9
260,8
261,3
262,4
263,5
264,7
265,6
266,8
267,8
268,1
269,9
270,7
271,0
272,3
273,1
274,6
275,2
276,1
277,2
278,5
279,4
280,9
281,7
282,8
283,8
284,9
285,5
286,6
287,0
288,5
289,5
290,5
291,4
292,9
293,0
294,7
295,9
296,5
297,0
298,5
299,3
300,7
301,9
302,1
303,2
304,3
305,8
306,5
307,2
308,8
309,9
310,7
311,6
312,1
313,7
314,1
315,3
316,0
317,9
318,1
319,5
320,6
321,8
322,4
323,7
324,7
325,0
326,0
327,0
328,9
329,8
330,4
331,7
332,9
333,6
334,6
335,4
336,5
337,0
338,6
339,8
340,8
341,8
342,6
343,8
344,9
345,2
346,8
347,0
348,9
349,4
350,5
351,4
352,1
353,0
354,6
355,1
356,8
357,2
358,5
359,7
360,2
361,0
362,0
363,1
364,8
365,9
366,8
367,2
368,3
369,9
370,8
371,7
372,3
373,5
374,1
375,8
376,0
377,9
378,8
379,8
380,9
381,2
382,2
383,1
384,0
385,2
386,9
387,2
388,3
389,7
390,7
391,8
392,4
393,7
394,5
395,4
396,9
397,9
398,9
399,4
400,9
401,8
402,9
403,7
404,7
405,4
406,7
407,1
408,0
409,3
410,1
411,1
412,5
413,2
414,0
415,4
416,9
417,6
418,5
419,9
420,5
421,5
422,4
423,4
424,6
425,6
426,7
427,3
428,3
429,4
430,8
431,4
432,3
433,6
434,8
435,7
436,1
437,0
438,4
439,1
440,4
441,5
442,9
443,0
444,2
445,6
446,3
447,5
448,5
449,7
450,9
451,5
452,9
453,7
454,1
455,0
456,2
457,3
458,4
459,8
460,8
461,8
462,6
463,6
464,9
465,7
466,1
467,9
468,6
469,7
470,9
471,4
472,4
473,8
474,0
475,8
476,8
477,2
478,8
479,4
480,4
481,9
482,0
483,8
484,3
485,8
486,5
487,5
488,0
489,4
490,1
491,9
492,2
493,4
494,0
495,3
496,6
497,8
498,6
499,7
500,1
501,5
502,4
503,3
504,6
505,7
506,4
507,5
508,8
509,2
510,6
511,8
512,8
513,1
514,6
515,8
516,8
517,2
518,7
519,2
520,4
521,1
522,2
523,2
524,5
525,1
526,6
527,6
528,9
529,4
530,5
531,7
532,3
533,5
534,7
535,8
536,4
537,8
538,2
539,2
540,4
541,4
542,7
543,7
